pitcher_name,pitcher_id,game_date,season,team,opponent,strikeouts,innings_pitched,batters_faced,hits,walks,is_home,park_k_factor,days_rest,game_id
Jacob deGrom,10002,2023-07-10,2023,TEX,STL,0,3.7,14,7,1,0,1.0,11,2023_10002_10
Jacob deGrom,10002,2023-07-12,2023,TEX,CHC,2,4.3,18,4,0,0,0.97,2,2023_10002_11
Jacob deGrom,10002,2023-07-16,2023,TEX,ATL,7,4.7,19,5,2,0,1.02,4,2023_10002_12
Jacob deGrom,10002,2023-07-19,2023,TEX,SEA,1,5.7,21,9,3,0,1.04,3,2023_10002_13
Jacob deGrom,10002,2023-07-21,2023,TEX,BAL,3,3.3,13,3,0,1,0.99,2,2023_10002_14
Jacob deGrom,10002,2023-07-24,2023,TEX,CIN,4,5.7,24,8,3,0,1.0,3,2023_10002_15
Jacob deGrom,10002,2023-07-25,2023,TEX,PIT,0,5.0,19,4,0,0,1.0,1,2023_10002_16
Jacob deGrom,10002,2023-08-07,2023,TEX,CHW,3,5.0,23,6,2,1,0.99,13,2023_10002_17
Jacob deGrom,10002,2023-08-21,2023,TEX,MIA,3,3.3,11,3,0,1,0.99,14,2023_10002_18
Jacob deGrom,10002,2023-08-23,2023,TEX,STL,4,4.3,19,2,1,0,1.0,2,2023_10002_19
Jacob deGrom,10002,2023-08-26,2023,TEX,TOR,5,7.0,31,9,1,0,1.0,3,2023_10002_20
Jacob deGrom,10002,2023-08-31,2023,TEX,STL,0,3.7,16,2,3,1,0.99,5,2023_10002_21
Jacob deGrom,10002,2023-09-19,2023,TEX,ARI,6,5.7,26,7,2,1,0.99,19,2023_10002_22
Jacob deGrom,10002,2023-09-29,2023,TEX,SDP,1,4.7,18,6,2,1,0.99,10,2023_10002_23
Shane Bieber,10003,2023-04-27,2023,STL,KCR,1,4.0,16,3,0,0,0.96,5,2023_10003_0
Shane Bieber,10003,2023-05-07,2023,STL,ARI,2,3.0,12,5,1,0,1.03,10,2023_10003_1
Shane Bieber,10003,2023-05-18,2023,STL,CHW,0,3.3,18,5,0,1,1.0,11,2023_10003_2
Shane Bieber,10003,2023-05-23,2023,STL,NYY,10,6.7,26,6,3,0,0.99,5,2023_10003_3
Shane Bieber,10003,2023-05-26,2023,STL,SFG,4,5.3,26,5,1,0,1.03,3,2023_10003_4
Shane Bieber,10003,2023-05-31,2023,STL,BAL,5,3.0,17,4,1,0,1.0,5,2023_10003_5
Shane Bieber,10003,2023-07-12,2023,STL,LAA,6,4.3,21,2,1,1,1.0,30,2023_10003_6
Shane Bieber,10003,2023-07-28,2023,STL,HOU,3,5.7,19,5,1,1,1.0,16,2023_10003_7
Shane Bieber,10003,2023-07-31,2023,STL,COL,0,4.3,17,4,1,0,0.92,3,2023_10003_8
Shane Bieber,10003,2023-08-03,2023,STL,TBR,0,3.7,13,2,2,1,1.0,3,2023_10003_9
Shane Bieber,10003,2023-08-14,2023,STL,OAK,0,3.7,13,5,0,1,1.0,11,2023_10003_10
Shane Bieber,10003,2023-08-28,2023,STL,ARI,1,5.3,21,9,0,0,1.03,14,2023_10003_11
Shane Bieber,10003,2023-09-05,2023,STL,SEA,2,4.0,16,4,2,0,1.04,8,2023_10003_12
Shane Bieber,10003,2023-09-11,2023,STL,SDP,2,4.0,14,6,2,0,1.08,6,2023_10003_13
Shane Bieber,10003,2023-09-15,2023,STL,TEX,1,3.3,15,2,0,0,0.99,4,2023_10003_14
Shane Bieber,10003,2023-09-29,2023,STL,TEX,5,3.0,16,0,0,1,1.0,14,2023_10003_15
Corbin Burnes,10004,2023-04-03,2023,OAK,MIN,5,7.7,31,8,1,1,1.0,5,2023_10004_0
Corbin Burnes,10004,2023-04-16,2023,OAK,SEA,0,4.3,19,6,1,1,1.0,13,2023_10004_1
Corbin Burnes,10004,2023-04-17,2023,OAK,SFG,3,4.0,14,3,1,0,1.03,1,2023_10004_2
Corbin Burnes,10004,2023-04-25,2023,OAK,LAA,3,4.3,16,1,0,1,1.0,8,2023_10004_3
Corbin Burnes,10004,2023-04-27,2023,OAK,KCR,5,4.3,17,5,1,0,0.96,2,2023_10004_4
Corbin Burnes,10004,2023-05-01,2023,OAK,KCR,5,4.0,16,3,2,1,1.0,4,2023_10004_5
Corbin Burnes,10004,2023-05-03,2023,OAK,CHC,8,5.0,21,4,2,1,1.0,2,2023_10004_6
Corbin Burnes,10004,2023-05-17,2023,OAK,SEA,9,3.0,10,4,2,1,1.0,14,2023_10004_7
Corbin Burnes,10004,2023-05-22,2023,OAK,MIL,3,4.7,17,5,3,0,1.05,5,2023_10004_8
Corbin Burnes,10004,2023-06-24,2023,OAK,BOS,4,5.0,22,3,2,1,1.0,30,2023_10004_9
Corbin Burnes,10004,2023-06-27,2023,OAK,SFG,3,5.3,24,5,3,1,1.0,3,2023_10004_10
Corbin Burnes,10004,2023-07-07,2023,OAK,KCR,8,4.7,24,7,2,1,1.0,10,2023_10004_11
Corbin Burnes,10004,2023-07-18,2023,OAK,CLE,4,5.3,23,5,2,1,1.0,11,2023_10004_12
Corbin Burnes,10004,2023-08-08,2023,OAK,MIL,2,5.0,22,6,1,1,1.0,21,2023_10004_13
Corbin Burnes,10004,2023-08-13,2023,OAK,BAL,5,5.0,18,4,0,0,1.0,5,2023_10004_14
Corbin Burnes,10004,2023-08-14,2023,OAK,TOR,2,6.7,27,8,2,0,1.0,1,2023_10004_15
Corbin Burnes,10004,2023-08-17,2023,OAK,NYY,4,5.3,27,4,3,1,1.0,3,2023_10004_16
Corbin Burnes,10004,2023-08-18,2023,OAK,LAD,8,4.7,19,6,1,0,1.03,1,2023_10004_17
Corbin Burnes,10004,2023-08-26,2023,OAK,HOU,7,5.3,21,3,1,1,1.0,8,2023_10004_18
Corbin Burnes,10004,2023-09-29,2023,OAK,CHW,4,6.0,24,8,1,1,1.0,30,2023_10004_19
Zack Wheeler,10006,2023-04-03,2023,ARI,CHW,5,9.0,37,6,4,1,1.03,5,2023_10006_0
Zack Wheeler,10006,2023-04-11,2023,ARI,MIN,5,5.7,22,4,1,1,1.03,8,2023_10006_1
Zack Wheeler,10006,2023-04-15,2023,ARI,NYY,3,7.0,30,7,1,0,0.99,4,2023_10006_2
Zack Wheeler,10006,2023-04-20,2023,ARI,TOR,1,6.0,27,6,1,1,1.03,5,2023_10006_3
Zack Wheeler,10006,2023-04-29,2023,ARI,MIA,10,7.0,30,6,3,1,1.03,9,2023_10006_4
Zack Wheeler,10006,2023-05-07,2023,ARI,WSN,13,7.3,27,9,1,1,1.03,8,2023_10006_5
Zack Wheeler,10006,2023-05-10,2023,ARI,BOS,9,7.3,27,7,3,0,0.98,3,2023_10006_6
Zack Wheeler,10006,2023-05-15,2023,ARI,CLE,7,6.3,25,7,2,0,1.04,5,2023_10006_7
Zack Wheeler,10006,2023-05-22,2023,ARI,LAA,6,4.7,21,4,0,1,1.03,7,2023_10006_8
Zack Wheeler,10006,2023-05-28,2023,ARI,CHC,5,5.0,23,4,2,1,1.03,6,2023_10006_9
Zack Wheeler,10006,2023-06-04,2023,ARI,BOS,7,7.3,28,7,3,1,1.03,7,2023_10006_10
Zack Wheeler,10006,2023-06-10,2023,ARI,BAL,1,5.0,23,7,2,0,1.0,6,2023_10006_11
Zack Wheeler,10006,2023-06-20,2023,ARI,TOR,12,5.7,28,4,2,1,1.03,10,2023_10006_12
Zack Wheeler,10006,2023-07-06,2023,ARI,NYY,5,7.3,35,7,3,1,1.03,16,2023_10006_13
Zack Wheeler,10006,2023-07-10,2023,ARI,MIL,8,5.0,24,5,1,1,1.03,4,2023_10006_14
Zack Wheeler,10006,2023-07-18,2023,ARI,LAA,4,6.3,24,4,2,0,0.99,8,2023_10006_15
Zack Wheeler,10006,2023-07-22,2023,ARI,MIL,6,6.0,21,5,2,1,1.03,4,2023_10006_16
Zack Wheeler,10006,2023-08-04,2023,ARI,SEA,4,5.0,20,5,1,0,1.04,13,2023_10006_17
Zack Wheeler,10006,2023-08-05,2023,ARI,OAK,6,6.0,25,5,1,1,1.03,1,2023_10006_18
Zack Wheeler,10006,2023-08-07,2023,ARI,LAD,6,6.0,27,6,2,1,1.03,2,2023_10006_19
Zack Wheeler,10006,2023-08-23,2023,ARI,DET,3,5.3,23,7,1,1,1.03,16,2023_10006_20
Zack Wheeler,10006,2023-08-26,2023,ARI,TOR,8,5.7,24,5,1,0,1.0,3,2023_10006_21
Zack Wheeler,10006,2023-09-04,2023,ARI,HOU,3,7.3,33,6,3,1,1.03,9,2023_10006_22
Zack Wheeler,10006,2023-09-23,2023,ARI,ATL,8,6.0,25,5,2,1,1.03,19,2023_10006_23
Zack Wheeler,10006,2023-09-25,2023,ARI,DET,9,7.3,31,6,2,1,1.03,2,2023_10006_24
Aaron Nola,10007,2023-03-30,2023,DET,KCR,3,3.7,17,4,2,1,1.0,5,2023_10007_0
Aaron Nola,10007,2023-04-08,2023,DET,TOR,5,4.7,24,5,3,1,1.0,9,2023_10007_1
Aaron Nola,10007,2023-04-18,2023,DET,ATL,2,3.7,15,5,0,1,1.0,10,2023_10007_2
Aaron Nola,10007,2023-04-29,2023,DET,LAD,10,6.0,24,7,2,1,1.0,11,2023_10007_3
Aaron Nola,10007,2023-05-01,2023,DET,PIT,3,3.3,11,2,1,1,1.0,2,2023_10007_4
Aaron Nola,10007,2023-05-06,2023,DET,CHW,6,8.3,37,10,3,0,0.99,5,2023_10007_5
Aaron Nola,10007,2023-05-08,2023,DET,LAD,7,6.3,26,6,3,1,1.0,2,2023_10007_6
Aaron Nola,10007,2023-05-13,2023,DET,LAD,10,4.3,21,3,2,0,1.03,5,2023_10007_7
Aaron Nola,10007,2023-05-29,2023,DET,CLE,3,3.7,13,5,1,1,1.0,16,2023_10007_8
Aaron Nola,10007,2023-06-04,2023,DET,HOU,5,4.7,21,5,3,1,1.0,6,2023_10007_9
Aaron Nola,10007,2023-06-05,2023,DET,PIT,8,8.3,33,6,3,0,1.0,1,2023_10007_10
Aaron Nola,10007,2023-06-07,2023,DET,PHI,0,5.0,25,8,2,1,1.0,2,2023_10007_11
Aaron Nola,10007,2023-06-10,2023,DET,ARI,6,6.0,21,7,1,0,1.03,3,2023_10007_12
Aaron Nola,10007,2023-06-12,2023,DET,MIA,1,3.7,14,3,1,0,0.98,2,2023_10007_13
Aaron Nola,10007,2023-06-26,2023,DET,NYM,2,4.3,16,6,0,1,1.0,14,2023_10007_14
Aaron Nola,10007,2023-07-06,2023,DET,PIT,8,6.7,25,7,3,0,1.0,10,2023_10007_15
Aaron Nola,10007,2023-07-19,2023,DET,WSN,7,5.7,26,6,2,0,1.01,13,2023_10007_16
Aaron Nola,10007,2023-08-01,2023,DET,BOS,4,5.7,19,6,2,1,1.0,13,2023_10007_17
Aaron Nola,10007,2023-08-25,2023,DET,NYM,5,3.7,16,3,1,0,1.06,24,2023_10007_18
Aaron Nola,10007,2023-08-26,2023,DET,LAD,0,4.7,22,4,3,0,1.03,1,2023_10007_19
Aaron Nola,10007,2023-08-29,2023,DET,LAA,8,5.7,23,5,2,1,1.0,3,2023_10007_20
Aaron Nola,10007,2023-09-03,2023,DET,LAD,10,4.7,17,5,2,0,1.03,5,2023_10007_21
Aaron Nola,10007,2023-09-08,2023,DET,TEX,6,4.7,21,3,0,1,1.0,5,2023_10007_22
Aaron Nola,10007,2023-09-11,2023,DET,TOR,8,6.0,21,4,1,0,1.0,3,2023_10007_23
Aaron Nola,10007,2023-09-17,2023,DET,SDP,2,3.3,12,3,1,0,1.08,6,2023_10007_24
Justin Verlander,10008,2023-04-10,2023,CLE,CHC,9,7.3,30,6,3,1,1.04,5,2023_10008_0
Justin Verlander,10008,2023-04-14,2023,CLE,MIN,9,7.0,26,7,2,1,1.04,4,2023_10008_1
Justin Verlander,10008,2023-04-15,2023,CLE,DET,2,6.3,26,10,2,1,1.04,1,2023_10008_2
Justin Verlander,10008,2023-04-21,2023,CLE,STL,9,6.3,31,8,2,1,1.04,6,2023_10008_3
Justin Verlander,10008,2023-04-22,2023,CLE,TOR,10,8.3,34,10,2,0,1.0,1,2023_10008_4
Justin Verlander,10008,2023-04-26,2023,CLE,TEX,13,7.7,30,7,4,1,1.04,4,2023_10008_5
Justin Verlander,10008,2023-05-08,2023,CLE,OAK,7,5.7,24,5,1,0,1.0,12,2023_10008_6
Justin Verlander,10008,2023-05-09,2023,CLE,TOR,6,9.0,35,6,3,0,1.0,1,2023_10008_7
Justin Verlander,10008,2023-05-11,2023,CLE,TOR,6,6.0,28,6,4,1,1.04,2,2023_10008_8
Justin Verlander,10008,2023-05-13,2023,CLE,NYY,10,8.7,37,8,3,0,0.99,2,2023_10008_9
Justin Verlander,10008,2023-05-19,2023,CLE,PHI,6,4.7,16,4,2,0,1.01,6,2023_10008_10
Justin Verlander,10008,2023-05-26,2023,CLE,BAL,6,6.3,30,4,4,0,1.0,7,2023_10008_11
Justin Verlander,10008,2023-05-28,2023,CLE,BOS,4,5.3,19,5,3,0,0.98,2,2023_10008_12
Justin Verlander,10008,2023-06-04,2023,CLE,NYM,2,6.3,30,6,2,0,1.06,7,2023_10008_13
Justin Verlander,10008,2023-06-06,2023,CLE,ARI,9,4.7,22,6,1,0,1.03,2,2023_10008_14
Justin Verlander,10008,2023-06-25,2023,CLE,MIA,8,7.7,33,5,4,0,0.98,19,2023_10008_15
Justin Verlander,10008,2023-06-26,2023,CLE,OAK,8,5.0,22,6,1,1,1.04,1,2023_10008_16
Justin Verlander,10008,2023-06-27,2023,CLE,NYM,5,7.3,31,10,3,1,1.04,1,2023_10008_17
Justin Verlander,10008,2023-07-27,2023,CLE,TBR,8,5.7,26,7,3,0,1.05,30,2023_10008_18
Justin Verlander,10008,2023-08-07,2023,CLE,SFG,6,7.0,31,7,4,0,1.03,11,2023_10008_19
Justin Verlander,10008,2023-08-10,2023,CLE,COL,3,7.0,28,7,2,0,0.92,3,2023_10008_20
Justin Verlander,10008,2023-08-15,2023,CLE,LAD,6,5.0,20,4,3,0,1.03,5,2023_10008_21
Justin Verlander,10008,2023-08-18,2023,CLE,DET,6,5.7,24,6,2,1,1.04,3,2023_10008_22
Justin Verlander,10008,2023-08-21,2023,CLE,CHW,4,4.0,18,6,2,0,0.99,3,2023_10008_23
Justin Verlander,10008,2023-08-23,2023,CLE,MIA,5,7.0,29,6,1,0,0.98,2,2023_10008_24
Justin Verlander,10008,2023-08-24,2023,CLE,NYM,5,6.7,27,5,2,1,1.04,1,2023_10008_25
Justin Verlander,10008,2023-09-23,2023,CLE,NYM,0,3.0,15,3,0,1,1.04,30,2023_10008_26
Justin Verlander,10008,2023-09-30,2023,CLE,TEX,12,7.7,33,8,2,1,1.04,7,2023_10008_27
Yu Darvish,10009,2023-03-29,2023,WSN,OAK,11,6.0,27,7,2,0,1.0,5,2023_10009_0
Yu Darvish,10009,2023-04-02,2023,WSN,KCR,11,6.0,27,5,1,0,0.96,4,2023_10009_1
Yu Darvish,10009,2023-04-12,2023,WSN,LAD,12,5.3,23,7,0,0,1.03,10,2023_10009_2
Yu Darvish,10009,2023-04-14,2023,WSN,KCR,6,6.0,27,5,1,0,0.96,2,2023_10009_3
Yu Darvish,10009,2023-04-20,2023,WSN,DET,2,6.3,28,6,2,1,1.01,6,2023_10009_4
Yu Darvish,10009,2023-04-24,2023,WSN,BAL,6,6.0,25,6,2,1,1.01,4,2023_10009_5
Yu Darvish,10009,2023-04-29,2023,WSN,MIA,4,8.0,35,9,3,0,0.98,5,2023_10009_6
Yu Darvish,10009,2023-05-09,2023,WSN,LAA,1,5.0,27,6,2,0,0.99,10,2023_10009_7
Yu Darvish,10009,2023-05-25,2023,WSN,BOS,4,5.3,21,7,1,0,0.98,16,2023_10009_8
Yu Darvish,10009,2023-05-27,2023,WSN,MIA,4,6.0,23,6,2,1,1.01,2,2023_10009_9
Yu Darvish,10009,2023-05-29,2023,WSN,OAK,1,3.0,10,1,0,1,1.01,2,2023_10009_10
Yu Darvish,10009,2023-05-31,2023,WSN,SDP,13,7.0,30,7,3,0,1.08,2,2023_10009_11
Yu Darvish,10009,2023-06-02,2023,WSN,SDP,3,5.7,21,7,1,0,1.08,2,2023_10009_12
Yu Darvish,10009,2023-06-05,2023,WSN,KCR,6,5.7,20,6,1,1,1.01,3,2023_10009_13
Yu Darvish,10009,2023-06-14,2023,WSN,SDP,7,5.3,29,5,4,0,1.08,9,2023_10009_14
Yu Darvish,10009,2023-06-22,2023,WSN,MIN,7,7.7,32,8,2,1,1.01,8,2023_10009_15
Yu Darvish,10009,2023-06-24,2023,WSN,ATL,1,6.0,26,5,1,0,1.02,2,2023_10009_16
Yu Darvish,10009,2023-07-03,2023,WSN,BAL,4,3.0,10,2,1,1,1.01,9,2023_10009_17
Yu Darvish,10009,2023-07-05,2023,WSN,MIN,3,3.0,12,3,2,1,1.01,2,2023_10009_18
Yu Darvish,10009,2023-07-07,2023,WSN,CHC,6,6.3,25,7,2,1,1.01,2,2023_10009_19
Yu Darvish,10009,2023-07-21,2023,WSN,ATL,3,4.7,21,4,1,0,1.02,14,2023_10009_20
Yu Darvish,10009,2023-07-30,2023,WSN,MIN,3,7.7,31,10,3,0,1.0,9,2023_10009_21
Yu Darvish,10009,2023-08-19,2023,WSN,SFG,3,5.0,25,4,2,0,1.03,20,2023_10009_22
Yu Darvish,10009,2023-09-11,2023,WSN,NYM,4,5.0,26,4,2,0,1.06,23,2023_10009_23
Yu Darvish,10009,2023-09-14,2023,WSN,CHW,5,5.3,23,4,2,1,1.01,3,2023_10009_24
Yu Darvish,10009,2023-09-25,2023,WSN,OAK,3,5.3,21,5,1,1,1.01,11,2023_10009_25
Dylan Cease,10010,2023-04-11,2023,TOR,CLE,5,7.0,27,9,3,0,1.04,5,2023_10010_0
Dylan Cease,10010,2023-04-14,2023,TOR,ATL,4,5.3,23,5,1,0,1.02,3,2023_10010_1
Dylan Cease,10010,2023-05-06,2023,TOR,KCR,3,4.0,14,6,2,1,1.0,22,2023_10010_2
Dylan Cease,10010,2023-05-11,2023,TOR,DET,5,6.3,25,7,2,1,1.0,5,2023_10010_3
Dylan Cease,10010,2023-05-12,2023,TOR,MIA,5,6.3,26,5,3,0,0.98,1,2023_10010_4
Dylan Cease,10010,2023-05-29,2023,TOR,CLE,4,5.7,30,6,3,1,1.0,17,2023_10010_5
Dylan Cease,10010,2023-06-06,2023,TOR,SEA,4,6.0,23,6,1,0,1.04,8,2023_10010_6
Dylan Cease,10010,2023-06-07,2023,TOR,HOU,2,6.0,23,9,1,0,1.02,1,2023_10010_7
Dylan Cease,10010,2023-06-08,2023,TOR,DET,6,7.7,32,6,3,1,1.0,1,2023_10010_8
Dylan Cease,10010,2023-06-13,2023,TOR,MIA,3,6.7,31,7,2,0,0.98,5,2023_10010_9
Dylan Cease,10010,2023-06-15,2023,TOR,WSN,0,3.7,18,5,1,0,1.01,2,2023_10010_10
Dylan Cease,10010,2023-06-16,2023,TOR,OAK,2,5.3,22,5,1,1,1.0,1,2023_10010_11
Dylan Cease,10010,2023-06-18,2023,TOR,LAA,5,5.0,20,6,1,0,0.99,2,2023_10010_12
Dylan Cease,10010,2023-06-26,2023,TOR,OAK,2,3.0,13,3,3,0,1.0,8,2023_10010_13
Dylan Cease,10010,2023-06-27,2023,TOR,BAL,6,4.0,18,6,1,1,1.0,1,2023_10010_14
Dylan Cease,10010,2023-06-29,2023,TOR,NYM,6,5.7,23,7,1,0,1.06,2,2023_10010_15
Dylan Cease,10010,2023-07-06,2023,TOR,LAA,7,7.7,28,6,3,1,1.0,7,2023_10010_16
Dylan Cease,10010,2023-07-11,2023,TOR,BOS,4,5.7,28,6,3,0,0.98,5,2023_10010_17
Dylan Cease,10010,2023-07-13,2023,TOR,CLE,2,4.3,18,4,0,1,1.0,2,2023_10010_18
Dylan Cease,10010,2023-07-19,2023,TOR,STL,2,6.3,24,4,3,0,1.0,6,2023_10010_19
Dylan Cease,10010,2023-07-25,2023,TOR,ARI,2,5.3,24,5,0,0,1.03,6,2023_10010_20
